,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
11,Camping La Ferme de Lann Hoëdic,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.50731,-2.760643,Rue Jean De La Fontaine - Lann Hoëdic,56370,+33 2 97 48 01 73,contact@camping-lannhoedic.fr,http://www.camping-lannhoedic.fr/|#+33,Sarzeau,"Camping La Ferme de Lann Hoëdic, situé à proximité de la plage du Roaliguen, du Château de Suscinio ..., à Sarzeau."
12,CAMPING de la PLAGE,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.51862,-2.595738,30 Avenue Pasteur,56750,+33 2 97 48 10 41,info@camping-damgan.com,http://www.camping-damgan.com/|#+33,Damgan,Ouvert du 1er avril au 31 octobre (résidentiel)Ouvert du 15 avril au 30 septembre (locatif et emplacements)
13,Musée de la Gare de Guiscriff,http://schema.org/Museum|https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#Museum|https://www.datatourisme.fr/ontology/core#ParkAndGarden|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Transport|http://schema.org/LocalBusiness|http://schema.org/Park,48.05647,-3.652511,117 Rue De La Gare,56560,+33 2 97 34 15 80,armarchdu.guiscriff@orange.fr,http://www.lagaredeguiscriff.com/<>https://www.lagaredeguiscriff.com/|AR,Guiscriff,"Arrêt en Gare de Guiscriff... prévoyez la journée ! Au programme : visite d’un musée sur l’histoire du train en Centre Bretagne, escape game et vélo. Une idée originale de sortie en famille dans le Morbihan.<>""Marie monte dans le train"", la gare de Guiscriff se raconte... Deux espaces scénographiques évoquent l'épopée du Réseau Ferroviaire Breton en Pays du Roi Morvan. Un rafraîchissement ? Le Café de la gare vous accueille le long de la voie verte n°7 Rosporden-Roscoff. Pour votre séjour, découvrez le camping de la gare tout équipé."
14,Location de vélos à la gare de Guiscriff,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,48.05692,-3.653926,117 Rue De La Gare,56560,+33 2 97 34 15 80,armarchdu.guiscriff@orange.fr,http://www.lagaredeguiscriff.com/<>https://www.lagaredeguiscriff.com/|Association,Guiscriff,
15,Camping Bordénéo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.3546,-3.16854499999999,Bordénéo,56360,+33 2 97 31 88 96,camping.bordeneo@wanadoo.fr,http://www.bordeneo.com/|CAMPING,Le Palais,"Camping familial calme, arboré et fleuri situé à seulement 600 m de la plage et 1,7 km de Le Palais proposant une grande variété d’hébergements et de grands emplacements entourés de haies pour préserver l’intimité de chacun.<>Camping familial, calme, arboré et fleuri. Piscine chauffée avec toboggan aquatique. A 600m de la plage et à 1,2 km du port de plaisance."
16,Camping d'Arvor,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.55747,-2.571573,Brouël Route de Sarzeau,56190,+33 2 97 41 16 69,info@campingdarvor.com,http://www.campingdarvor.com/|#+33,Ambon,"Avec ses grands pins maritimes, son étang naturel et son bel espace aquatique, le camping d’Arvor, sur la presqu’île de Rhuys, vous plonge dans un océan de détente et de sérénité, au cœur du Morbihan. Prêts pour piquer une tête ?<>Camping** familial situé à 5 km des plages. Vous pourrez profiter de la piscine couverte et chauffée dès le printemps."
17,Hôtel Le Rohan,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.06226,-2.966968,90 rue Nationale,56300,+33 2 97 51 11 30,contacthotel.lerohanpontivy@gmail.com,http://www.lerohan-pontivy.com/|HOTEL,Pontivy,"Cet hôtel est idéalement situé au carrefour des axes Vannes, Lorient et Saint-Brieuc, sur la route des ducs de Rohan, à proximité châteaux et du lac de Guerlédan."
19,Electrothèque du Lac de Guerlédan,http://schema.org/Museum|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#Museum|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/LocalBusiness,48.18265,-3.013658,Le Bourg Rue Du Musée,56480,+33 2 97 25 04 10,musee.electricite@pontivycommunaute.com,http://www.musee-electricite-guerledan.com/|#+33,Saint-Aignan,"Le petit village de Saint-Aignan met en lumière le Musée de l’électricité, qui retrace l’Histoire du barrage de Guerlédan et dévoile une riche collection d’objets…"
21,Restaurant Auberge du Chemin de Fer,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.75941,-3.346334,2 rue Marcel Sembat,56600,+33 2 97 76 18 79,michel.chouteau@free.fr,http://www.aubergeduchemindefer.fr/|#+33,Lanester,"Unique en Bretagne, venez découvrir une cuisine du terroir dans un restaurant dédié au train. Maître restaurateur et membre des Cuisineries Gourmandes Provinces Françaises. 3 salles. Terrasse et jardins. Formule couscous tous les vendredis soirs. Ouvert du lundi au samedi tous les jours + vendredi et samedi soir.Fermé le dimanche. Fermé en août et une semaine à Noël."
22,Camping des Peupliers,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.55558,-2.565565,Route de Damgan,56190,+33 2 97 41 12 51,contact@campingdespeupliers.com,http://www.campingdespeupliers.com/|#+33,Ambon,"Aux portes du Morbihan et de la presqu’île de Rhuys, le camping *** Les Peupliers joue la carte du confort et de l’animation, pour des séjours en famille inoubliables !"
23,Camping Le Kermadec,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.55017,-2.562089,Route de Damgan,56190,+33 2 97 41 15 90,campingkermadec@wanadoo.fr,http://www.campinglekermadec.com/|CAMPING,Ambon,
24,Camping municipal Le Tindio,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.55294,-2.882301,Kerners 2 Rue De Bilouris,56640,+33 2 97 53 44 60,campings@arzon.fr,http://www.camping-golfedumorbihan.com/<>http://www.camping-arzon.fr/|MAIRIE,Arzon,"A la pointe de la presqu’île de Rhuys, ce camping municipal 3* offre un accès direct à la mer ainsi qu’au sentier côtier longeant le Golfe du Morbihan. Calme et verdoyant, il permet de marier facilement détente et visite de la région."
25,Hôtel Cléria,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.75234,-3.365396,27 boulevard Franchet d'Esperey,56100,+33 2 97 21 04 59,info@hotel-cleria.com,http://www.hotel-cleria.com/|HOTEL,Lorient,"Le Cléria c'est bien plus qu'un hôtel. Atmosphère calme au coeur de la ville, raffinement de la tradition et de l'hôtellerie contemporaine : TV LCD, ascenseur, patio, parking (gratuit) et garage fermés. Ouvert 24h/24 et 7j/7. Wifi gratuit."
26,Camping de Kernéjeune,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.51566,-2.435167,Kernejeune,56190,+33 2 97 45 01 60,contact@camping-de-kernejeune.com,http://www.camping-de-kernejeune.com/|EUR,Arzal,"Idéalement situé entre le golfe du Morbihan et la station réputée de La Baule, le camping de Kernéjeune est un havre de bien-être et de calme. Dans ce village de plein air, les familles pourront profiter des multiples activités proposées !<>Le Camping avec ses 60 emplacements sur un domaine de 4,5 Ha, offre espace, détente et sérénité."
27,Haras national d'Hennebont,http://schema.org/Museum|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#Museum|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/LocalBusiness,47.80601,-3.267524,Rue Victor Hugo,56700,+33 2 97 65 43 77,contact-marketing@sellor.com,http://www.haras-hennebont.fr/|#+33,Hennebont,"Entrez c'est ouvert! Plus de 40 idées de sorties & activités pour tous!<>Espace Découverte du Cheval<>L'espace découverte du cheval au Haras National d'HENNEBONT<>Le Haras est un lieu historique et prestigieux, reconnu comme l’un des berceaux des imposants chevaux de trait breton.<>A cheval entre mer et campagne, la ville d’Hennebont est célèbre pour son haras national, reconnu comme l’un des berceaux des chevaux de trait bretons. Deuxième haras le plus visité de France, ce site équestre de renom offre une programmation culturelle et sportive riche en émotions."
30,Restaurant Le Jardin Gourmand,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#GourmetRestaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.7575,-3.367064,46 rue Jules Simon,56100,+33 2 97 64 17 24,jardingourmand@tropmad.com,http://www.tropmad.fr/|#+33,Lorient,"Remarquée par Petitrenaud, Robuchon et Pudlowski, surnommée ""La fée du Morbihan"", Nathalie adapte sa cuisine au marché journalièrement. Cuisine régionale intuitive.Ouvert de 12h15 à 13h30 et de 19h30 à 21h30. Ouvert du vendredi au dimanche midi toute l'année et du mercredi au dimanche midi en été, à la Toussaint et à Noël."
31,Hôtel Rex Hôtel,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.75433,-3.362496,28 Cours de Chazelles,56100,+33 2 97 64 25 60,rexhotel@wanadoo.fr,http://www.rex-hotel-lorient.com/|HOTEL,Lorient,"L'hôtel est situé dans la grande avenue qui mène au port de plaisance et à la gare. Parking gratuit face à l'hôtel + possibilité parking payant couvert surveillé par vidéo et vigile à 50 m, câble et canal + (32 chaînes), téléphonie. Salle de réunion (salle de petit-déjeuner) et de réception. Recommandé par le guide du Routard. Salon avec cheminée. Wifi gratuit, proximité commerces, restaurants et cinémas."
32,Domaine de Suscinio,https://www.datatourisme.fr/ontology/core#Castle|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#ParkAndGarden|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#RemarkableBuilding|https://www.datatourisme.fr/ontology/core#DefenceSite|https://www.datatourisme.fr/ontology/core#FortifiedCastle|http://schema.org/Park,47.51334,-2.728689,Suscinio Route Du Duc Jean v,56370,+33 2 97 41 91 91,caroline.vienney@suscinio.fr,http://www.suscinio.fr/|#+33,Sarzeau,"Entrez c'est ouvert! Plus de 40 idées de sorties & activités pour tous!<>Château de Suscinio, ancien domaine des Ducs de Bretagne, situé sur Sarzeau, côté océan.<>Dans un environnement naturel d’exception, l’impressionnante forteresse de Suscinio raconte l’histoire de la Bretagne Sud, de 1200 à nos jours. Remarquable, le domaine est classé aux Espaces Naturels Sensibles pour la richesse de sa faune et sa flore.<>Le château de Suscinio, joyau de l'architecture médiévale, situé au bord de la mer dans un écrin de verdure, dans un environnement exceptionnel entre océan et marais, propose une journée de dépaysement entre nature et culture.<>Le Domaine de Suscinio, 800 ans d'histoire, entre Océan Atlantique et Golfe du Morbihan.<>Venez profiter d’une journée de dépaysement, entre nature et culture.<>Niché entre bois et marais, le Domaine de Suscinio est un joyau médiéval unique, au cœur de la Presqu’île de Rhuys.<>Ce château fut la résidence préférée des Ducs de Bretagne, une somptueuse résidence ducale des XIV et XVème siècles. Elle comprend deux grands corps d’habitation et une cour fermée de courtines. Au 1er étage du logis d’entrée, deux salles présentent un pavement médiéval d’une chapelle hors les murs. C’est l’un des plus beaux exemples connus en Europe."
33,"Branféré, parc animalier & botanique et Parcabout®",https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#ParkAndGarden|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/Park,47.5932,-2.402058,Branféré,56190,+33 2 97 42 85 96,contact@branfere.com,http://www.branfere.com/|#+33,Le Guerno,"Entrez c'est ouvert! Plus de 40 idées de sorties & activités pour tous!<>1200 animaux en liberté dans un parc botanique multi-centenaire, 3000 m² de filets dans les arbres pour s'amuser et passer une journée inoubliable en pleine nature.<>Branféré est un concept original qui rassemble en un même lieu un parc animalier & botanique, un parc de loisirs (le parcabout®) et un centre d'éducation à l'environnement (l'École Nicolas Hulot).<>Parc animalier & botanique et Parcabout® de BranféréUn site dédié au respect de la nature à cent lieues du concept zoologique traditionnel.<>Un lieu d’émerveillement, de découverte et de jeux pour une journée inoubliable en pleine nature.<>1000 animaux des 5 continents en liberté dans un immense parc botanique (girafes, zèbres, lémuriens, pandas roux...). Un espace de rencontre exceptionnel entre l'homme et l'animal. Spectacle d'oiseaux unique en Europe. Découvrez le parcabout : 1700m2 de filet dans les arbres pour s'amuser et se détendre en famille.Ouvert du 11 février au 7 novembre 2012.<>Situé dans la petite commune de Le Guerno, dans le Morbihan, le parc de Branféré est un lieu de découvertes et de jeux, pour une journée inoubliable 100% nature ! Ici, il y en a pour tous les goûts et toutes les envies : parc animalier, jardin botanique, parcours aventure et Ecole de la Nature !"
34,Crêperie-Grill Les Korrigans,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.83782,-2.645302,27 rue des martyrs de la Résistance,56420,+33 2 97 42 34 00,creperieleskorrigans@hotmail.fr,http://www.creperieplumelec.com/|#+33,Plumelec,"Labellisée ""Crêperie gourmande"", la crêperie des Korrigans vous propose un large choix de crêpes et de galettes à base de produits du terroir locaux : charcuterie, cidre, légumes et confitures....Accueil sympathique et chaleureux dans un décor peuplé de fées et de korrigans. Ouvert toute l'année. Chaise bébé, cheminée."
39,La Crêperie d'Antan,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.50045,-2.837923,15 rue du Général de Gaulle,56730,+33 2 97 45 28 77,creperiedantan@orange.fr,http://www.creperiedantan.fr/|CREPERIE,Saint-Gildas-de-Rhuys,"Crêperie ouverte d'avril à novembre et pendant les vacances de Noël, à Saint-Gildas-de-Rhuys.<>La crêperie d'Antan vous accueille au coeur du bourg de St Gildas. Vous apprécierez ses galettes salées et ses crêpes sucrées, dont la réputation n'est plus à faire. Le label ""Crêperies Gourmandes"" de Bretagne en est la preuve et témoigne de la qualité de l'accueil, du service et des produits utilisés."
40,Crêperie Bara Breizh,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.57008,-2.707158,35 Route de Penvins,56450,+33 2 97 26 46 52,contact@bara-breizh.com,http://www.bara-breizh.com/|CREPERIE,Saint-Armel,"Crêperie située à Saint Armel, sur la route de Sarzeau."
41,Restaurant Le Moulin de Célac,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.6611,-2.464489,"5, Rue De Célac",56230,+33 2 97 26 00 06,moulindecelac@gmail.com,http://www.moulindecelac.com/|#+33,Questembert,"Le Moulin de Célac, labellisé Maître Restaurateur, est situé face à l'étang..."
43,Camping Les Grands Sables,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.31648,-3.108103,Les Grands Sables,56360,+33 2 97 31 84 46,contact@camping-belle-ile.com,http://www.camping-belle-ile.com/|CAMPING,Locmaria,"Petit camping sur 2 ha, cadre champêtre, à 300 m de la plage. Accueil, convivialité, simplicité, nature !"
44,Location de bateaux Horizon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,47.31648,-3.108103,Les Grands Sables,56360,+33 2 97 31 54 71,horizon@oceanet.fr,http://www.belleile-horizon.com/|Horizon,Locmaria,
