,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
51,Private Hôtel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,41.592139,9.309837,Route de Palombaggia,20137,+33 4 95 70 13 66,contact@private-hotel-corsica.com,http://private-hotel-corsica.com/,Porto-Vecchio,"Hôtel de charme dans un parc arboré et fleuri à 300 m de la mer, avec sa vue panoramique sur le golfe de Porto-Vecchio, réservé aux adultes, vous propose 16 chambres pavillonnaires dans un style contemporain."
52,Les Terrasses de Rondinara,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.477,9.2676,Lieu dit Suartone Route de la plage Rondinara,20169,+33 4 95 24 28 45,terrasses@rondinara.fr,http://www.lesterrassesderondinara.com/,Bonifacio,"Villas haut de gamme, avec vue mer d'exception, en plein cœur du maquis.
La résidence vous accueille au sein d'un domaine niché dans la sérénité du maquis corse et à proximité de la magnifique plage de Rondinara. Chaque villa offre une décoration soignée."
54,Roc e Fiori,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,41.546736,9.284826,Bocca d'Oro,20137,+33 4 95 70 45 20,info@rocefiori.com,http://www.rocefiori.com/,Porto-Vecchio,"Laissez-vous séduire par ce véritable havre de quiétude, plein de charme.
Le Roc E Fiori se compose de 2 ensembles : « La Villa » 17 chambres et suites organisées autour du jardin et de la piscine, et « La Boiserie » 6 juniors suites au cœur des chênes."
56,L'Ondine,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.608218,8.863331,7A rue A Marina,20220,+33 4 95 60 70 02,contact@hotelondine.com,http://www.hotelondine.com/,Algajola,"L'Hôtel l'Ondine est situé au coeur d'Algajola, charmant petit village de bord de mer, en Balagne, sans aucun doute, l'une des plus belles régions pour d'agréables vacances en Corse, à mi-chemin entre Calvi (15 minutes) et Ile Rousse (10 minutes)."
58,Cesario,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.543739,8.798235,Route de Calenzana,20260,+33 4 95 65 95 00,contact@hotelcesario.fr,https://www.hotel-cesario.fr/,Calvi,"A seulement 5 mn en voiture des plages de Calvi et de Balagne, découvrez l'Hôtel Cesario, situé en plein maquis. Le calme dont jouit cet établissement est la promesse de vacances en Corse réussies !"
59,Le Padro,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.543739,8.798235,Route de Calenzana,20260,+33 4 95 65 95 00,info@viacalvi.fr,http://www.calvi-location-corse.fr/,Calvi,"A 5 mn en voiture des plages de Calvi et de Balagne, découvrez la Résidence Padro, située au calme en plein maquis et bénéficiez des prestations de l'hôtel Cesario."
60,Bureau d'Information Touristique d'Algajola,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|https://www.datatourisme.fr/ontology/core#LocalTouristOffice|https://www.datatourisme.fr/ontology/core#TouristInformationCenter|http://schema.org/LocalBusiness|http://schema.org/TouristInformationCenter,42.608405,8.860407,Gare d'Algajola,20220,+33 4 95 65 16 67,tourisme@balagne-corsica.com,https://www.balagne-corsica.com/,Algajola,Nos services … Accueil – Information – Réservation hébergement – vente de fiches randonnées – Billetterie concerts et spectacle – Billetterie train
63,Hôtel-Club Joseph Charles,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.632058,8.948708,Route de Bastia,20220,+33 3 87 75 77 45,info@univac.net,http://www.univac.net/,L'Île-Rousse,"Pour vos vacances, l'hôtel Joseph Charles situé pieds dans l'eau et à proximité du centre ville, vous propose une restauration avec vin inclus."
65,Bella Vista,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|https://www.datatourisme.fr/ontology/core#PlaceOfInterest,42.552492,8.756453,Route de Pietramaggiore,20260,+33 4 20 19 00 90,resa@sejoya.fr,https://www.camping-bellavista.com/,Calvi,"Le camping Bella Vista est situé à Calvi, en Balagne, dans un parc de 7 ha d'arbres et de fleurs. Vous apprécierez son calme, son confort, son accueil chaleureux pour un agréable séjour camping en Corse ."
66,La Clé des Champs,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.556613,8.755347,Route de Pietramaggiore,20260,+33 4 95 65 00 86,,https://www.calvi-cledeschamps.fr/,Calvi,"La Clé des Champs, camping ombragé situé à Calvi en Corse, à proximité des activités de Balagne, vous accueille pour des vacances camping en corse.
Au cœur d'une plantation d'eucalyptus, amis campeurs vous pouvez installer vos tentes où bon vous semble."
67,Hôtel Corsica,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.543,8.7574,Route de Pietramaggiore,20260,+33 4 95 65 03 64,info@hotel-calvi-corsica.com,https://www.hotel-calvi-corsica.com/,Calvi,"Cet hôtel situé sur les hauteurs de Calvi en Corse, vous offre le calme et une qualité de services pour la réussite de votre séjour en Balagne. Bonnes vacances et bon séjour à Calvi !"
68,Les Castors,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.557264,8.756045,Route de Pietramaggiore,20260,+33 4 20 19 00 90,resa@sejoya.fr,https://www.camping-castors.fr/,Calvi,"Réservez dès à présent votre camping à Calvi en Corse, en Balagne....""Les Castors""  possède un parc de 2 ha boisé d' eucalyptus et de peupliers.
En complément des emplacements et des mobil-homes, Les Castors vous proposent également des studios meublés."
