,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
10,Villa Bel Ombre,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.939,55.657,"74, impasse Bois de Fer - Champ Borne",97440,+33 6 92 66 07 09,j-db@hotmail.fr,http://www.villa-belombre.fr/,Saint-André,
11,Grand Pavois (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.22428135,55.34502577,"277, route des Vacoas",97425,+33 2 62 57 26 20,grandpavois@wanadoo.fr,,Les Avirons,
12,Grand Pavois (Le) - Bois de Senteur,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.22428135,55.34502577,"277, route des Vacoas",97425,+33 2 62 57 26 20,grandpavois@wanadoo.fr,,Les Avirons,
13,Grand Pavois (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.22428135,55.34502577,"277, route des Vacoas",97425,+33 2 62 57 26 20,grandpavois@wanadoo.fr,,Les Avirons,
14,"Les meublés ""Entre Mer et Montagne""",https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.265605,55.502398,167 chemin Raphaël Babet - Trois Mares,97430,+33 2 62 01 98 49,,http://meuble-tampon.fr/,Le Tampon,
15,Lambrequins n° 103 (Les) / Cannelle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.29770714,55.47305184,"50, chemin Diagonale",97432,+33 2 62 49 74 83,gitereunion@yahoo.fr,http://www.gite-reunion.fr/,Saint-Pierre,
16,Lambrequins n° 102 (Les) / Citronnelle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.29770714,55.47305184,"50, chemin Diagonale",97432,+33 2 62 49 74 83,gitereunion@yahoo.fr,http://www.gite-reunion.fr/,Saint-Pierre,
17,Villa Summer,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.049731,55.225784,53 chemin Summer n°1,97434,+33 6 92 60 64 54,villasummerlocation@gmail.com,https://www.villas2luxereunion.com/,Saint-Paul,
18,Kaz à Papang,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.23374,55.340367,19 chemin des Bananes,97425,+33 2 62 83 00 50,reservations@keylodge.fr,,Les Avirons,
19,Vieux Cep (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.13668759,55.47241605,"44, rue Saint-Louis",97413,+33 2 62 31 71 89,contact@levieuxcep.re,http://levieuxcep.re/,Cilaos,
20,Iloha Seaview Hotel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.14798695,55.27757123,44 rue Georges PompidouPointe des Châteaux - CD 12,97436,+33 2 62 34 89 89,hotel@iloha.fr,https://www.iloha.fr/,Saint-Leu,
21,Palmiers (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.257598,55.493882,"8, rue André Malraux - Trois Mares",97430,+33 2 62 27 17 49,palmiers@wanadoo.fr,,Le Tampon,
22,Hôtel Bellepierre,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-20.89625806,55.44723605,"91 bis, allée des Topazes - Bellepierre",97400,+33 2 62 51 51 51,info@hotel-bellepierre.com,http://www.hotel-bellepierre.com/,Saint-Denis,
23,Concorde (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.89625806,55.44723605,"91 bis, allée des Topazes - Bellepierre",97400,+33 2 62 51 51 51,info@hotel-bellepierre.com,http://www.hotel-bellepierre.com/,Saint-Denis,
24,Bleu du Sud,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.277058,55.514533,"5, rue Aristide Briand",97430,+33 6 92 66 44 93,contact@bleudusudreunion.re,,Le Tampon,
25,Lux Saint-Gilles Ile de La Réunion,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.08786428,55.22995141,"28, rue du Lagon - Ermitage",97434,+33 2 62 70 00 00,luxiledelareunion@luxresorts.com,http://www.luxresorts.com/fr/hotel-reunion/luxsaintgilles,Saint-Paul,
26,Plage (La),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.06701433,55.22272134,"28, rue du Lagon - Ermitage",97434,+33 2 62 70 00 07,,http://www.luxresorts.com/fr/hotel-reunion/luxsaintgilles,Saint-Paul,
27,Bar (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.06701433,55.22272134,"28, rue du Lagon - Ermitage",97434,+33 2 62 70 00 00,,http://www.luxresorts.com/fr/hotel-reunion/luxsaintgilles,Saint-Paul,
28,Cuisine (La),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.06701433,55.22272134,"28, rue du Lagon - Ermitage",97434,+33 2 62 70 00 00,,http://www.luxresorts.com/fr/hotel-reunion/luxsaintgilles,Saint-Paul,
29,Orangine,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.06701433,55.22272134,"28, rue du Lagon - Ermitage",97434,+33 2 62 70 00 00,,http://www.luxresorts.com/fr/hotel-reunion/luxsaintgilles,Saint-Paul,
30,Villa Angélique (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-20.883022,55.4501118,"39, rue Paris",97400,+33 2 62 48 41 48,resa@villa-angelique.fr,http://www.villa-angelique.fr/,Saint-Denis,
31,Arpège's (L'),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.883022,55.4501118,"39, rue Paris",97400,+33 2 62 48 41 49,resa@villa-angelique.fr,http://www.villa-angelique.fr/,Saint-Denis,
32,Amétysse (L'),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.257456,55.36607,"7, impasse des Cerises",97427,+33 2 62 13 17 26,lametysse@gmail.com,,L'Étang-Salé,
33,Villas Manapany,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.375556,55.590556,"9 C, allée du Four à Chaux - Manapany-les-Bains",97480,+33 6 93 13 79 78,villasmanapany@gmail.com,http://www.villasmanapany.com/,Saint-Joseph,
34,Brise de Mer,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.36863345,55.56728647,"8, chemin Sylvain Vitry",97429,+33 2 62 56 88 10,gerard.levent@orange.fr,http://www.gite-brisedemer.re/,Petite-Île,
35,Poz Lagon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.097884,55.245877,"89, rue des Scalaires",97434,+33 6 92 64 77 29,contact@pozlagon.com,http://www.pozlagon.fr/,Saint-Paul,
36,Ferme du Pommeau (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.13723978,55.6354404,"10, allée des Pois de Senteur",97431,+33 2 62 51 40 70,resa@ferme-du-pommeau.re,https://www.fermedupommeau.re/,La Plaine-des-Palmistes,
37,Ferme du Pommeau (La),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.13723978,55.6354404,"10, allée des Pois de Senteur",97431,+33 2 62 51 40 70,resa@fermedupommeau.re,http://www.fermedupommeau.re/,La Plaine-des-Palmistes,
38,Mercure Créolia (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-20.90118767,55.46796872,"14, rue du Stade - Montgaillard",97400,+33 2 62 94 26 26,,http://www.exsel.re/hotels-a-la-reunion/mercure-creolia,Saint-Denis,
39,Kaloupilé (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-20.90118767,55.46796872,"14, rue du Stade - Montgaillard",97400,+33 2 62 94 26 26,,http://www.accorhotels.com/fr/hotel-1674-mercure-creolia-saint-denis-la-reunion/restaurant.shtml,Saint-Denis,
40,Varangue (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,-20.90118767,55.46796872,"14, rue du Stade - Montgaillard",97400,+33 2 62 94 26 26,,http://www.accorhotels.com/fr/hotel-1674-mercure-creolia-saint-denis-la-reunion/restaurant.shtml,Saint-Denis,
41,Grondin Annie,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.14283692,55.47317145,"23 C, chemin Brûlé Marron",97413,+33 6 93 01 15 83,,,Cilaos,
42,Hôtel Le Récif,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.06701433,55.22272134,"50, avenue de Bourbon",97434,+33 2 62 70 01 00,info@hotellerecif.com,http://www.hotellerecif.com/fr,Saint-Paul,
43,Comptoir Sud (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.08786428,55.22995141,"50, avenue de Bourbon",97434,+33 2 62 70 01 00,,http://www.hotellerecif.com/fr,Saint-Paul,
44,Maloya (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.08786428,55.22995141,"50, avenue de Bourbon",97434,+33 2 62 70 01 00,,http://www.hotellerecif.com/fr,Saint-Paul,
45,Guet'A Li (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.032516,55.474337,"21, chemin Camp Pierrot",97433,+33 2 62 98 12 84,liliane.bonald@wanadoo.fr,,Salazie,
46,Gîte des Bambous,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.030132,55.509339,"60, chemin Plateau",97433,+33 2 62 30 15 08,gdc.run@gmail.com,https://gitesdelacolline.jimdo.com/,Salazie,
47,Vieil Alambic (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.20773883,55.41813794,"55, rue Montplaisir",97421,+33 2 62 37 82 77,edithdeurveilher@gmail.com,http://levieilalambic.com/,Saint-Louis,
48,Vieux Canon de Saint-Paul (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.0529289,55.28202561,"18, chemin Bosse",97435,+33 2 62 55 69 13,mary-levieux-canon@orange.fr,,Saint-Paul,
49,Vieux Canon de Saint-Paul (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#TableHotes|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.0529289,55.28202561,"18, chemin Bosse",97435,+33 2 62 55 69 13,mary-levieux-canon@orange.fr,,Saint-Paul,
50,Ruisseau (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.01754,55.327667,"220, chemin des Barrières - Bel Air",97411,+33 2 62 70 86 52,,,Saint-Paul,
51,Hôtel Austral,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-20.87589874,55.45340447,"20, rue Charles Gounod",97400,+33 2 62 94 45 67,hotel-austral@wanadoo.fr,http://www.hotel-austral.fr/,Saint-Denis,
52,Dan'n Tan Lontan,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.361944,55.764722,"19, allée des Palmiers",97442,+33 2 62 47 71 06,lacailleorange@orange.fr,https://www.dantanlontan.com/,Saint-Philippe,
53,Chez Savriama N°189,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.96970121,55.69189562,"1090, chemin 80",97440,+33 2 62 46 69 84,,,Saint-André,
55,Chez Savriama N°190,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.96970121,55.6918956,"1090, chemin 80",97440,+33 2 62 46 69 84,,,Saint-André,
57,Bungalows du Piton (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.19657003,55.30772331,"18, chemin Renaud - Grand Fond",97424,+33 2 62 34 38 02,bungalowsdupiton@wanadoo.fr,,Saint-Leu,
59,Moustache et Béret,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.263441,55.362238,125 Allée de Montaignac,97427,+33 2 62 33 87 54,moustacheetberet@orange.fr,,L'Étang-Salé,
